payment_id,customer_id,staff_id,rental_id,amount,payment_date
93,4,2,7718,2.99,2011-07-28 04:37:59
94,4,1,8741,3.99,2011-07-29 18:44:57
95,4,1,9100,5.99,2011-07-30 08:46:09
96,4,1,9371,5.99,2011-07-30 18:58:00
97,4,2,11069,0.99,2011-08-02 07:09:34
98,4,1,11110,2.99,2011-08-02 08:20:31
99,4,2,11529,4.99,2011-08-17 00:28:01
100,4,1,12151,2.99,2011-08-18 00:14:03
101,4,2,12294,8.99,2011-08-18 05:14:44
102,4,2,12856,1.99,2011-08-19 02:19:13
103,4,1,13704,2.99,2011-08-20 09:32:04
104,4,1,13807,6.99,2011-08-20 12:55:40
105,4,2,14225,4.99,2011-08-21 04:53:37
106,4,1,15147,2.99,2011-08-22 13:58:23
107,4,2,15635,1.99,2011-08-23 07:43:00
108,5,1,731,0.99,2011-05-29 07:25:16
109,5,1,1085,6.99,2011-05-31 11:15:43
110,5,1,1142,1.99,2011-05-31 19:46:38
111,5,1,1502,3.99,2011-06-15 22:03:14
112,5,2,1631,2.99,2011-06-16 08:01:02
113,5,2,2063,4.99,2011-06-17 15:56:53
114,5,2,2570,2.99,2011-06-19 04:20:13
115,5,2,3126,4.99,2011-06-20 18:38:22
116,5,2,3677,4.99,2011-07-06 09:11:58
117,5,2,4889,2.99,2011-07-08 20:04:43
118,5,1,5016,4.99,2011-07-09 01:57:57
119,5,2,5118,5.99,2011-07-09 07:13:52
120,5,2,5156,1.99,2011-07-09 08:51:42
121,5,2,5721,0.99,2011-07-10 11:09:35
122,5,1,6042,8.99,2011-07-11 03:17:04
123,5,1,6663,3.99,2011-07-12 11:27:35
124,5,2,6685,4.99,2011-07-12 12:16:28
125,5,2,7293,0.99,2011-07-27 12:37:28
126,5,2,7652,0.99,2011-07-28 01:50:29
127,5,2,7829,3.99,2011-07-28 08:43:39
128,5,1,8263,2.99,2011-07-29 01:11:23
129,5,1,8978,1.99,2011-07-30 04:14:28
130,5,1,9493,4.99,2011-07-30 23:52:30
131,5,1,9888,3.99,2011-07-31 14:00:53
132,5,2,10609,4.99,2011-08-01 14:48:45
133,5,1,10625,0.99,2011-08-01 15:27:10
134,5,2,11001,4.99,2011-08-02 04:56:45
135,5,1,11179,4.99,2011-08-02 10:50:06
136,5,2,11930,3.99,2011-08-17 16:28:53
137,5,1,12145,9.99,2011-08-18 00:10:04
138,5,1,12797,2.99,2011-08-19 00:24:08
139,5,1,13063,1.99,2011-08-19 09:45:41
140,5,2,13877,0.99,2011-08-20 15:16:18
141,5,2,14053,6.99,2011-08-20 22:13:59
142,5,1,14430,6.99,2011-08-21 11:31:11
143,5,2,14494,2.99,2011-08-21 14:02:50
144,5,2,15232,0.99,2011-08-22 17:37:02
145,5,2,13209,0.99,2006-02-14 15:16:03
146,6,2,57,4.99,2011-05-25 08:43:32
147,6,1,577,2.99,2011-05-28 11:09:14
148,6,2,916,0.99,2011-05-30 11:25:01
149,6,1,1575,3.99,2011-06-16 03:41:38
150,6,2,1841,2.99,2011-06-16 23:44:13
151,6,1,1966,0.99,2011-06-17 09:19:45
152,6,1,2345,0.99,2011-06-18 12:03:23
153,6,2,3983,0.99,2011-07-06 23:14:21
154,6,2,4278,2.99,2011-07-07 14:53:24
155,6,1,5553,0.99,2011-07-10 03:03:35
156,6,2,6211,5.99,2011-07-11 12:39:01
157,6,1,6248,7.99,2011-07-11 15:01:54
158,6,2,6686,0.99,2011-07-12 12:18:38
159,6,2,7099,2.99,2011-07-27 05:03:44
160,6,2,7136,2.99,2011-07-27 06:38:25
161,6,1,8101,0.99,2011-07-28 18:47:23
162,6,1,10271,2.99,2011-08-01 03:13:39
163,6,1,11023,2.99,2011-08-02 05:36:38
164,6,1,11398,3.99,2011-08-02 18:55:15
165,6,1,11591,6.99,2011-08-17 02:29:41
166,6,1,11727,0.99,2011-08-17 08:12:20
167,6,1,11853,0.99,2011-08-17 13:39:32
168,6,2,12254,2.99,2011-08-18 04:05:29
169,6,2,13451,6.99,2011-08-20 00:18:25
170,6,1,14329,7.99,2011-08-21 08:22:56
171,6,1,14377,4.99,2011-08-21 09:49:28
172,6,1,15509,5.99,2011-08-23 02:51:24
173,6,2,15603,0.99,2011-08-23 06:41:32
174,7,2,46,5.99,2011-05-25 06:04:08
175,7,2,117,0.99,2011-05-25 19:30:46
176,7,2,748,2.99,2011-05-29 09:27:00
177,7,1,975,4.99,2011-05-30 21:07:15
178,7,1,1063,5.99,2011-05-31 08:44:29
179,7,2,1810,0.99,2011-06-16 21:06:00
180,7,1,2250,2.99,2011-06-18 05:03:36
181,7,1,2709,0.99,2011-06-19 14:00:26
182,7,1,2888,4.99,2011-06-20 01:50:56
183,7,1,3007,0.99,2011-06-20 10:11:53
184,7,2,3639,5.99,2011-07-06 07:09:17
185,7,2,4238,2.99,2011-07-07 13:22:20
186,7,2,4787,5.99,2011-07-08 16:16:04
187,7,1,4856,4.99,2011-07-08 18:47:38
188,7,1,5441,8.99,2011-07-09 21:52:05
189,7,1,5921,7.99,2011-07-10 21:35:12
190,7,1,6174,1.99,2011-07-11 10:36:28
191,7,1,6295,2.99,2011-07-11 17:30:58
192,7,2,6761,3.99,2011-07-12 15:17:42
193,7,2,8422,5.99,2011-07-29 07:02:55
194,7,2,9624,7.99,2011-07-31 04:30:03
195,7,2,10330,6.99,2011-08-01 04:57:04
196,7,1,10423,5.99,2011-08-01 08:19:53
197,7,1,10514,4.99,2011-08-01 11:39:26
198,7,2,10644,4.99,2011-08-01 15:52:00
199,7,2,10989,3.99,2011-08-02 04:40:54
200,7,2,11542,7.99,2011-08-17 00:51:32
201,7,1,12367,8.99,2011-08-18 07:57:14
202,7,1,12730,2.99,2011-08-18 21:55:01
203,7,2,13373,2.99,2011-08-19 21:23:31
204,7,1,13476,2.99,2011-08-20 01:06:04
205,7,1,13594,0.99,2011-08-20 05:53:31
206,7,1,14222,5.99,2011-08-21 04:49:48
207,8,2,866,6.99,2011-05-30 03:43:54
208,8,2,1305,2.99,2011-06-15 09:59:16
209,8,1,2095,5.99,2011-06-17 18:21:35
210,8,2,3114,4.99,2011-06-20 17:57:47
211,8,1,3475,5.99,2011-07-05 23:01:21
212,8,1,4003,0.99,2011-07-07 00:09:02
213,8,2,4175,2.99,2011-07-07 10:02:03
214,8,2,4409,3.99,2011-07-07 21:47:29
215,8,1,4503,3.99,2011-07-08 02:17:12
216,8,1,5300,2.99,2011-07-09 15:40:46
217,8,2,5341,2.99,2011-07-09 17:13:23
218,8,1,6375,4.99,2011-07-11 21:39:46
219,8,1,6647,0.99,2011-07-12 10:43:53
220,8,1,8809,1.99,2011-07-29 21:42:49
221,8,2,9629,2.99,2011-07-31 04:54:43
222,8,2,10141,0.99,2011-07-31 22:08:29
223,8,2,10561,2.99,2011-08-01 13:05:35
224,8,1,11232,9.99,2011-08-02 13:04:12
225,8,2,11284,2.99,2011-08-02 14:42:45
226,8,1,12613,2.99,2011-08-18 17:16:01
227,8,1,14114,0.99,2011-08-21 01:07:11
228,8,1,15374,7.99,2011-08-22 22:09:09
229,8,1,15764,2.99,2011-08-23 13:05:10
230,8,1,15805,4.99,2011-08-23 14:31:19
231,9,2,350,4.99,2011-05-27 05:01:28
232,9,2,877,0.99,2011-05-30 05:48:59
233,9,2,1075,4.99,2011-05-31 10:13:34
234,9,2,3142,7.99,2011-06-20 19:59:28
235,9,2,3262,4.99,2011-06-21 04:08:43
236,9,1,4454,2.99,2011-07-07 23:37:00
237,9,2,4748,0.99,2011-07-08 13:59:38
238,9,1,4796,1.99,2011-07-08 16:35:44
239,9,1,5659,2.99,2011-07-10 07:45:40
240,9,2,6019,4.99,2011-07-11 02:08:29
241,9,1,6165,5.99,2011-07-11 10:17:29
242,9,2,7616,0.99,2011-07-28 00:15:26
243,9,1,7801,2.99,2011-07-28 07:51:56
244,9,1,9043,4.99,2011-07-30 06:34:07
245,9,1,10451,0.99,2011-08-01 09:11:25
246,9,1,10454,4.99,2011-08-01 09:14:00
247,9,2,11400,5.99,2011-08-02 19:00:52
248,9,1,11556,0.99,2011-08-17 01:11:53
249,9,1,12228,2.99,2011-08-18 03:08:10
250,9,1,12309,2.99,2011-08-18 05:58:40
251,9,2,12652,4.99,2011-08-18 18:48:58
252,9,2,14489,7.99,2011-08-21 13:53:59
253,9,1,15813,4.99,2006-02-14 15:16:03
254,10,2,1140,4.99,2011-05-31 19:36:30
255,10,1,1801,4.99,2011-06-16 20:21:53
256,10,1,1995,4.99,2011-06-17 11:11:14
257,10,2,2222,3.99,2011-06-18 03:26:23
258,10,1,2814,0.99,2011-06-19 20:01:59
259,10,1,2865,0.99,2011-06-20 00:00:55
260,10,2,3790,3.99,2011-07-06 14:13:45
261,10,2,4042,4.99,2011-07-07 03:06:40
262,10,1,4255,1.99,2011-07-07 14:14:13
263,10,1,5038,7.99,2011-07-09 03:12:52
264,10,2,5068,2.99,2011-07-09 04:53:18
265,10,1,5444,0.99,2011-07-09 21:58:57
266,10,1,5905,2.99,2011-07-10 20:41:09
267,10,1,7738,2.99,2011-07-28 05:21:42
268,10,2,8001,6.99,2011-07-28 15:10:55
269,10,2,8188,4.99,2011-07-28 22:34:12
270,10,1,9935,4.99,2011-07-31 15:27:07
271,10,2,10671,8.99,2011-08-01 17:09:59
272,10,2,11289,2.99,2011-08-02 14:55:00
273,10,1,11405,0.99,2011-08-02 19:13:39
274,10,2,12031,2.99,2011-08-17 20:11:35
275,10,2,12400,2.99,2011-08-18 09:19:12
276,10,2,13316,4.99,2011-08-19 19:23:30
277,10,2,13917,2.99,2011-08-20 16:43:28
278,10,1,15370,5.99,2011-08-22 21:59:29
279,11,1,987,6.99,2011-05-30 22:59:12
280,11,1,1470,6.99,2011-06-15 20:53:07
281,11,1,1939,7.99,2011-06-17 07:26:45
282,11,1,3192,0.99,2011-06-20 23:49:12
283,11,2,4608,2.99,2011-07-08 07:19:11
284,11,1,4943,4.99,2011-07-08 22:43:05
285,11,2,5835,5.99,2011-07-10 16:44:58
286,11,2,6146,6.99,2011-07-11 09:09:59
287,11,1,7314,4.99,2011-07-27 13:13:32
288,11,1,8014,4.99,2011-07-28 15:32:07
289,11,2,8100,2.99,2011-07-28 18:43:11
290,11,2,8447,1.99,2011-07-29 07:38:14
291,11,1,8715,0.99,2011-07-29 17:33:45
292,11,1,8950,9.99,2011-07-30 03:17:13
293,11,2,9292,6.99,2011-07-30 16:08:21
294,11,1,10812,4.99,2011-08-01 22:41:16
295,11,2,11166,6.99,2011-08-02 10:14:58
296,11,2,11502,0.99,2011-08-16 23:06:30
297,11,2,12015,5.99,2011-08-17 19:32:44
298,11,2,13572,0.99,2011-08-20 05:07:27
299,11,1,13790,4.99,2011-08-20 12:17:27
300,11,1,15120,0.99,2011-08-22 12:42:47
301,11,2,15240,2.99,2011-08-22 17:46:41
302,11,1,11646,0.99,2006-02-14 15:16:03
303,12,1,988,4.99,2011-05-30 23:08:03
304,12,1,1084,4.99,2011-05-31 11:10:17
305,12,2,1752,5.99,2011-06-16 17:02:55
306,12,2,2434,5.99,2011-06-18 18:11:51
307,12,2,2500,5.99,2011-06-18 23:07:12
308,12,2,2623,4.99,2011-06-19 08:11:51
309,12,2,3135,2.99,2011-06-20 19:33:52
310,12,1,3411,0.99,2011-06-21 16:31:27
311,12,1,3870,3.99,2011-07-06 17:57:54
312,12,1,5071,0.99,2011-07-09 05:00:39
313,12,1,5074,0.99,2011-07-09 05:06:24
314,12,2,5111,0.99,2011-07-09 07:02:19
315,12,2,5242,3.99,2011-07-09 13:20:25
316,12,1,6773,2.99,2011-07-12 15:55:39
317,12,2,7008,0.99,2011-07-27 01:44:03
318,12,2,7279,0.99,2011-07-27 11:50:47
319,12,2,8985,0.99,2011-07-30 04:34:51
320,12,2,9166,4.99,2011-07-30 11:26:28
321,12,2,9238,5.99,2011-07-30 13:49:43
322,12,1,9627,5.99,2011-07-31 04:42:46
323,12,2,9708,5.99,2011-07-31 07:45:33
324,12,2,10392,10.99,2011-08-01 06:50:26
325,12,2,11497,0.99,2011-08-16 22:52:30
326,12,1,12604,4.99,2011-08-18 16:58:48
327,12,2,13519,0.99,2011-08-20 02:37:07
328,12,2,13895,2.99,2011-08-20 15:58:28
329,12,2,14240,4.99,2011-08-21 05:19:39
330,12,1,15993,0.99,2011-08-23 20:28:44
331,13,1,1933,2.99,2011-06-17 06:54:42
332,13,1,2209,4.99,2011-06-18 02:24:01
333,13,1,2952,2.99,2011-06-20 06:26:57
334,13,1,3047,8.99,2011-06-20 12:45:33
335,13,2,3946,2.99,2011-07-06 21:39:24
336,13,1,6118,8.99,2011-07-11 07:43:08
337,13,1,6568,2.99,2011-07-12 05:45:47
338,13,1,6870,0.99,2011-07-12 20:13:45
339,13,1,6897,2.99,2011-07-12 21:30:41
340,13,1,7916,2.99,2011-07-28 11:49:53
341,13,1,8277,2.99,2011-07-29 01:38:53
342,13,2,8831,11.99,2011-07-29 22:37:41
343,13,2,9260,9.99,2011-07-30 14:38:22
344,13,2,9434,0.99,2011-07-30 21:29:41
345,13,1,9664,0.99,2011-07-31 06:12:08
346,13,1,9736,7.99,2011-07-31 08:58:40
347,13,1,10003,4.99,2011-07-31 17:48:51
348,13,1,11292,4.99,2011-08-02 14:58:41
349,13,2,11315,0.99,2011-08-02 16:05:17
350,13,2,11761,5.99,2011-08-17 09:44:59
351,13,2,12918,7.99,2011-08-19 04:31:36
352,13,2,13096,4.99,2011-08-19 10:49:03
353,13,2,13213,0.99,2011-08-19 15:25:48
354,13,1,13456,0.99,2011-08-20 00:33:19
355,13,1,14252,9.99,2011-08-21 05:44:07
356,13,2,14545,7.99,2011-08-21 15:44:23
357,13,1,15338,4.99,2011-08-22 20:51:24
358,14,1,151,0.99,2011-05-26 00:37:28
359,14,1,346,9.99,2011-05-27 04:34:41
360,14,1,525,5.99,2011-05-28 04:25:33
361,14,1,671,2.99,2011-05-28 22:04:30
362,14,2,815,0.99,2011-05-29 20:24:28
363,14,2,1360,4.99,2011-06-15 13:32:15
364,14,1,3707,2.99,2011-07-06 10:21:49
365,14,1,4952,0.99,2011-07-08 23:00:07
366,14,1,5104,0.99,2011-07-09 06:37:07
367,14,2,5317,7.99,2011-07-09 16:10:25
368,14,1,5383,4.99,2011-07-09 19:14:32
369,14,1,5565,7.99,2011-07-10 03:29:48
370,14,1,8035,6.99,2011-07-28 16:23:01
371,14,1,8042,0.99,2011-07-28 16:45:11
372,14,1,8548,3.99,2011-07-29 11:11:33
373,14,2,8836,4.99,2011-07-29 22:46:08
374,14,2,9438,4.99,2011-07-30 21:36:15
375,14,1,9592,2.99,2011-07-31 03:21:16
376,14,1,10348,2.99,2011-08-01 05:23:00
377,14,2,10526,6.99,2011-08-01 11:55:33
378,14,1,11480,4.99,2011-08-02 22:18:24
379,14,2,11528,3.99,2011-08-17 00:27:23
380,14,1,12668,2.99,2011-08-18 19:16:47
381,14,1,13757,4.99,2011-08-20 11:20:12
382,14,2,15015,6.99,2011-08-22 08:43:50
383,14,1,15373,0.99,2011-08-22 22:08:11
384,14,1,16045,0.99,2011-08-23 22:25:26
385,14,1,13780,4.99,2006-02-14 15:16:03
386,15,1,2486,2.99,2011-06-18 21:26:56
387,15,1,2937,5.99,2011-06-20 05:15:37
388,15,2,3182,0.99,2011-06-20 22:52:18
389,15,1,3550,7.99,2011-07-06 02:29:21
390,15,1,4127,5.99,2011-07-07 07:26:19
391,15,1,5717,2.99,2011-07-10 11:02:03
392,15,2,5975,2.99,2011-07-11 00:14:19
393,15,1,7105,4.99,2011-07-27 05:15:37
394,15,1,8193,0.99,2011-07-28 22:50:50
395,15,2,8615,6.99,2011-07-29 13:36:01
396,15,2,8927,4.99,2011-07-30 02:13:31
397,15,1,9987,2.99,2011-07-31 17:22:35
398,15,1,11118,2.99,2011-08-02 08:44:18
399,15,1,11141,2.99,2011-08-02 09:29:11
400,15,2,11307,2.99,2011-08-02 15:48:08
401,15,2,11341,2.99,2011-08-02 17:09:24
402,15,1,11922,7.99,2011-08-17 16:20:37
403,15,2,12272,2.99,2011-08-18 04:39:10
404,15,2,12551,2.99,2011-08-18 14:46:26
405,15,1,12635,2.99,2011-08-18 18:00:23
406,15,2,13339,8.99,2011-08-19 20:18:36
407,15,1,13393,5.99,2011-08-19 22:03:46
408,15,2,13503,5.99,2011-08-20 02:00:33
409,15,1,13541,4.99,2011-08-20 03:41:41
410,15,2,13677,3.99,2011-08-20 08:34:41
411,15,2,14569,0.99,2011-08-21 16:31:22
412,15,2,14776,4.99,2011-08-21 23:53:35
413,15,2,14872,8.99,2011-08-22 03:23:41
414,15,1,15178,0.99,2011-08-22 15:36:04
415,15,1,15897,4.99,2011-08-23 17:12:31
416,15,1,13798,3.98,2006-02-14 15:16:03
417,15,2,13968,0.00,2006-02-14 15:16:03
418,16,1,335,3.99,2011-05-27 03:07:10
419,16,1,593,2.99,2011-05-28 13:33:23
420,16,2,887,0.99,2011-05-30 07:10:00
421,16,1,1017,2.99,2011-05-31 02:53:36
422,16,2,1934,6.99,2011-06-17 07:04:57
423,16,1,1944,7.99,2011-06-17 07:50:53
425,16,1,2960,7.99,2011-06-20 07:10:09
426,16,2,3348,0.99,2011-06-21 11:16:42
427,16,1,3548,0.99,2011-07-06 02:23:39
428,16,2,4219,2.99,2011-07-07 12:11:22
429,16,2,4263,3.99,2011-07-07 14:24:44
430,16,2,4517,4.99,2011-07-08 02:45:19
431,16,1,6100,4.99,2011-07-11 06:40:31
432,16,2,7489,0.99,2011-07-27 19:39:38
433,16,2,7552,2.99,2011-07-27 22:03:41
434,16,2,8452,5.99,2011-07-29 07:45:00
435,16,2,9158,0.99,2011-07-30 11:12:03
436,16,2,9610,5.99,2011-07-31 03:54:05
437,16,2,10687,2.99,2011-08-01 17:53:02
438,16,2,10727,2.99,2011-08-01 19:15:08
439,16,2,11308,0.99,2011-08-02 15:50:44
440,16,2,12104,2.99,2011-08-17 22:53:00
441,16,1,12358,4.99,2011-08-18 07:41:43
442,16,1,12577,7.99,2011-08-18 15:39:46
443,16,2,13151,4.99,2011-08-19 13:08:23
444,16,1,13391,4.99,2011-08-19 22:01:42
445,16,1,13480,6.99,2011-08-20 01:10:27
446,16,1,14511,8.99,2011-08-21 14:45:34
447,17,2,287,2.99,2011-05-26 19:44:54
448,17,1,580,2.99,2011-05-28 11:19:53
449,17,2,884,4.99,2011-05-30 06:41:32
450,17,2,2175,5.99,2011-06-18 00:17:58
451,17,1,2684,8.99,2011-06-19 12:29:08
452,17,2,3269,5.99,2011-06-21 05:06:30
453,17,1,5714,3.99,2011-07-10 10:46:57
454,17,1,5883,3.99,2011-07-10 19:25:21
455,17,2,6884,1.99,2011-07-12 20:52:41
456,17,2,8076,8.99,2011-07-28 17:45:58
457,17,1,8213,2.99,2011-07-28 23:37:33
458,17,2,9092,8.99,2011-07-30 08:30:56
459,17,1,9138,2.99,2011-07-30 10:11:52
460,17,2,9382,8.99,2011-07-30 19:23:44
461,17,1,9489,0.99,2011-07-30 23:43:32
462,17,2,11990,4.99,2011-08-17 18:26:22
463,17,1,13732,2.99,2011-08-20 10:24:41
464,17,1,14040,2.99,2011-08-20 21:43:44
465,17,2,14326,2.99,2011-08-21 08:15:41
466,17,1,14346,2.99,2011-08-21 08:42:26
467,17,2,15752,5.99,2011-08-23 12:41:38
468,18,1,50,2.99,2011-05-25 06:44:53
469,18,1,116,4.99,2011-05-25 19:27:51
470,18,1,692,4.99,2011-05-29 01:32:10
471,18,2,1451,5.99,2011-06-15 19:30:18
472,18,2,1783,4.99,2011-06-16 19:23:23
473,18,2,2112,5.99,2011-06-17 19:52:42
474,18,1,2990,8.99,2011-06-20 09:02:51
475,18,2,4672,3.99,2011-07-08 10:15:38
476,18,2,4724,3.99,2011-07-08 12:46:30
477,18,2,4923,3.99,2011-07-08 21:44:39
478,18,2,6128,2.99,2011-07-11 08:15:08
479,18,1,6846,0.99,2011-07-12 19:20:45
480,18,2,8122,2.99,2011-07-28 19:27:37
481,18,1,8555,4.99,2011-07-29 11:18:01
482,18,1,9036,4.99,2011-07-30 06:18:38
483,18,2,9114,4.99,2011-07-30 09:13:21
484,18,1,10682,4.99,2011-08-01 17:32:53
485,18,2,10721,1.99,2011-08-01 19:05:18
486,18,2,11094,4.99,2011-08-02 08:03:02
487,18,2,11439,4.99,2011-08-02 20:22:45
488,18,2,12333,0.99,2011-08-18 06:51:39
489,18,2,13490,0.99,2011-08-20 01:29:29
490,19,2,18,0.99,2011-05-25 01:10:47
491,19,2,110,9.99,2011-05-25 18:43:49
492,19,1,179,6.99,2011-05-26 04:26:06
493,19,1,337,2.99,2011-05-27 03:22:30
494,19,2,591,2.99,2011-05-28 13:11:04
495,19,2,696,2.99,2011-05-29 01:59:10
496,19,1,2657,2.99,2011-06-19 10:42:59
497,19,1,2848,2.99,2011-06-19 22:55:37
498,19,2,3423,2.99,2011-06-21 17:38:02
499,19,2,3549,4.99,2011-07-06 02:24:55
500,19,2,6495,4.99,2011-07-12 02:57:02
501,19,1,9157,5.99,2011-07-30 11:06:23
502,19,1,9256,0.99,2011-07-30 14:29:29
503,19,2,10077,9.99,2011-07-31 20:01:06
504,19,1,10176,7.99,2011-07-31 23:40:35
505,19,2,11508,8.99,2011-08-16 23:27:36
506,19,1,11869,5.99,2011-08-17 14:10:22
507,19,1,12211,9.99,2011-08-18 02:31:18
508,19,2,12357,2.99,2011-08-18 07:40:52
509,19,1,13718,8.99,2011-08-20 09:53:44
510,19,2,13804,8.99,2011-08-20 12:46:32
511,19,1,14101,4.99,2011-08-21 00:33:03
512,19,1,15047,2.99,2011-08-22 09:57:16
513,19,2,15529,0.99,2011-08-23 03:46:47
514,20,2,202,2.99,2011-05-26 07:27:36
515,20,2,497,6.99,2011-05-28 00:54:39
516,20,2,546,1.99,2011-05-28 07:16:25
517,20,2,1558,0.99,2011-06-16 02:33:53
518,20,2,2136,3.99,2011-06-17 21:16:41
519,20,2,2343,4.99,2011-06-18 11:46:26
520,20,1,3350,4.99,2011-06-21 11:21:38
521,20,2,4011,3.99,2011-07-07 00:48:25
522,20,1,4407,2.99,2011-07-07 21:39:45
523,20,1,5718,2.99,2011-07-10 11:03:20
524,20,1,6254,2.99,2011-07-11 15:10:18
525,20,2,6267,6.99,2011-07-11 15:53:00
526,20,2,7217,4.99,2011-07-27 09:31:44
527,20,2,7864,5.99,2011-07-28 10:06:10
528,20,2,8127,2.99,2011-07-28 19:45:19
529,20,2,9075,4.99,2011-07-30 07:55:14
530,20,2,9468,3.99,2011-07-30 22:53:52
531,20,2,10284,4.99,2011-08-01 03:33:19
532,20,1,10616,7.99,2011-08-01 14:59:50
533,20,1,10954,1.99,2011-08-02 03:30:24
534,20,1,11821,0.99,2011-08-17 12:27:55
535,20,1,12180,0.99,2011-08-18 01:28:15
536,20,2,13036,4.99,2011-08-19 08:48:37
537,20,1,13137,4.99,2011-08-19 12:26:32
538,20,2,13317,2.99,2011-08-19 19:25:42
